0.679,4.91951,9.18861,15.527,0.369191,3.774,0,
0.69,5.37224,8.87926,12.545,0.275218,4.58068,1,
0.659,4.63534,8.65441,27.053,0.44723,7.11498,0,
0.626,5.20676,8.15807,15.474,0.660214,4.56383,0,
0.564,4.23824,4.52291,17.897,0.0654642,2.17395,0,
0.731,4.13001,7.14547,18.789,0.917628,11.1968,0,
0.796,5.07588,8.55564,-1,-1,-1,0,
0.593,5.27354,6.52485,-1,-1,-1,0,
1.25,3.68974,9.27273,-1,-1,-1,0,
0.527,4.52979,4.6262,14.444,0.201779,3.82302,0,
0.664,5.30654,9.16437,12.495,0.353793,6.75534,1,
0.659,4.72771,7.56511,21.622,1.3996,15.293,1,
0.597,3.58309,6.91539,16.543,0.265457,2.78609,0,
0.68,5.66995,5.68327,14.907,0.685282,6.90608,1,
0.813,5.34089,7.55261,14.876,0.896167,8.05297,1,
0.579,5.01435,9.06797,16.332,0.391902,3.86555,0,
-1,-1,-1,-1,-1,-1,0,
0.58,4.08945,5.82501,-1,-1,-1,0,
0.684,4.22972,8.53451,18.73,0.759313,7.90354,0,
1.577,3.48547,10.8083,-1,-1,-1,0,
0.567,4.97415,3.37456,17.965,0.431229,5.05323,0,
-1,-1,-1,-1,-1,-1,0,
0.655,4.35101,7.70097,17.296,0.167355,1.76524,0,
0.727,4.80344,7.92626,-1,-1,-1,0,
0.857,3.7118,11.004,-1,-1,-1,0,
0.634,4.89019,4.62099,18.318,0.361673,3.97568,0,
0.821,4.5601,8.87808,12.613,0.66943,4.08709,1,
1.093,4.81151,9.27575,12.926,0.525129,3.76558,1,
1.565,5.03846,8.35905,12.862,0.545236,4.26825,1,
0.663,4.38106,8.82454,17.723,0.107873,1.96501,0,
0.597,4.14782,6.12334,15.007,0.704284,3.98,0,
0.516,4.80969,3.53396,12.682,0.0348182,2.83328,1,
0.707,5.44547,7.51055,-1,-1,-1,0,
0.618,5.09696,5.62789,17.259,0.199507,1.75346,0,
1.258,5.0466,8.4266,17.769,0.904922,7.58254,0,
0.562,4.75286,9.13566,16.397,0.740237,8.0959,1,
1.087,5.9657,9.79558,12.856,0.194819,2.86828,1,
